diameter,density,gas_density,gas_viscosity,sphericity,voidage,umf
30,2817,1.212,1.81E-05,1,0.45,0.039
300,2650,1.212,1.81E-05,1,0.45,12
300,2640,1.212,1.81E-05,1,0.45,5.63
300,1140,1.212,1.81E-05,1,0.45,8
300,2600,1.212,1.81E-05,1,0.45,8
300,2620,1.212,1.81E-05,1,0.45,7.4
300,2600,0.316220837,4.55E-05,1,0.45,8.7
300,2500,1.212,1.81E-05,1,0.45,8.1
300,3160,1.212,1.81E-05,1,0.56,13
300,2500,1.2,1.80E-05,1,0.45,8.9
300,2640,1.212,1.81E-05,1,0.45,15.8
300,2490,1.212,1.81E-05,1,0.45,7.1
300,2600,1.212,1.81E-05,1,0.45,7
300,6000,1.212,1.81E-05,1,0.45,20.6
300,2760,0.585,5.12E-05,1,0.45,2.8
300,2580,1.212,1.81E-05,1,0.45,7.5
300,2700,1.212,1.81E-05,1,0.45,9.2
300,2600,0.302741688,4.67E-05,1,0.45,7
300,2400,1.212,1.81E-05,1,0.45,7.1
300,3950,1.212,1.81E-05,1,0.45,10
3000,1440,1.212,1.81E-05,1,0.45,100
3000,1300,1.212,1.81E-05,1,0.45,98
3000,700,1.212,1.81E-05,1,0.45,68
3000,1000,1.212,1.70E-05,1,0.45,76
3000,1478,1.212,1.81E-05,0.97,0.45,105
3000,420,1.225,2.18E-05,1,0.45,60
301,2600,1.212,1.81E-05,1,0.45,8
302,2644,1.212,1.81E-05,1,0.45,7.96
305,2722,1.212,1.81E-05,1,0.45,7
305,4200,1.212,1.81E-05,1,0.45,13.3
306,2500,1.212,1.81E-05,1,0.45,5
307,2300,1.212,1.81E-05,1,0.45,8.41
307,2720,1.212,1.81E-05,1,0.45,8.2
308,7480,1.212,1.81E-05,1,0.75,11.2
309,2640,1.225,1.49E-05,1,0.36,9.2
309.6,2640,1.225,1.79E-05,1,0.45,9.28
3090,2489,1.212,1.81E-05,1,0.45,113
310,3670,1.212,1.81E-05,1,0.52,18
310,2500,1.21,1.81E-05,1,0.45,15
310,2500,1.225,1.79E-05,1,0.45,15
3100,800,1.212,1.81E-05,1,0.45,76
3100,340,1.212,1.81E-05,1,0.45,39
